,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
98,670454451,False,finalized,3,2/10/15 2:00,England,1.0,18-Mar-05,1.0,White,1.0,Na,1.0,Straight,1.0,1940,1.0,Best Actor,http://www.nndb.com/people/742/000063553/,,,Goodbye Mr. Chips,Robert Donat,,,,
102,670454455,False,finalized,3,2/10/15 2:05,Hungary,1.0,26-May-1887,1.0,White,1.0,Na,1.0,Straight,1.0,1944,1.0,Best Actor,http://www.nndb.com/people/713/000042587/,,,Watch on the Rhine,Paul Lukas,,,,
104,670454457,False,finalized,3,2/10/15 2:41,Wales,1.0,3-Jan-07,1.0,White,1.0,Na,0.6897,Straight,1.0,1946,0.6897,Best Actor,http://www.nndb.com/people/814/000042688/,,,The Lost Weekend,Ray Milland,,,,
106,670454459,False,finalized,3,2/10/15 2:02,England,1.0,9-Feb-1891,1.0,White,1.0,Na,1.0,Straight,1.0,1948,1.0,Best Actor,http://www.nndb.com/people/619/000042493/,,,A Double Life,Ronald Colman,,,,
107,670454460,False,finalized,3,2/10/15 2:03,England,1.0,22-May-07,1.0,White,1.0,Na,1.0,Bisexual,1.0,1949,1.0,Best Actor,http://www.nndb.com/people/607/000022541/,,,Hamlet,Laurence Olivier,,,,
109,670454462,False,finalized,3,2/10/15 1:53,Puerto Rico,1.0,8-Jan-09,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,1951,1.0,Best Actor,http://www.nndb.com/people/311/000026233/,,,Cyrano de Bergerac,Jose Ferrer,,,,
115,670454468,False,finalized,3,2/10/15 2:02,Russia,1.0,11-Jul-20,1.0,White,1.0,Na,1.0,Straight,1.0,1957,1.0,Best Actor,http://www.nndb.com/people/459/000026381/,,,The King and I,Yul Brynner,,,,
116,670454469,False,finalized,3,2/10/15 2:03,England,1.0,2-Apr-14,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1958,1.0,Best Actor,http://www.nndb.com/people/751/000023682/,,,The Bridge on the River Kwai,Alec Guinness,,,,
117,670454470,False,finalized,3,2/10/15 2:03,England,1.0,1-Mar-09,1.0,White,1.0,Na,1.0,Straight,1.0,1959,1.0,Best Actor,http://www.nndb.com/people/690/000031597/,,,Separate Tables,David Niven,,,,
120,670454473,False,finalized,3,2/10/15 2:11,Austria,1.0,8-Dec-30,1.0,White,1.0,Na,1.0,Straight,1.0,1962,1.0,Best Actor,http://www.nndb.com/people/351/000023282/,,,Judgement at Nuremberg,Maximilian Schell,,,,
123,670454476,False,finalized,3,2/10/15 1:55,England,1.0,5-Mar-08,1.0,White,1.0,Na,1.0,Straight,1.0,1965,1.0,Best Actor,http://www.nndb.com/people/132/000043003/,,,My Fair Lady,Rex Harrison,,,,
125,670454478,False,finalized,3,2/10/15 1:53,England,1.0,21-Jan-22,1.0,White,1.0,Na,1.0,Straight,1.0,1967,1.0,Best Actor,http://www.nndb.com/people/950/000033851/,,,A Man For All Seasons,Paul Scofield,,,,
135,670454488,False,finalized,3,2/10/15 3:45,England,1.0,28-Sep-16,1.0,White,1.0,Na,1.0,Straight,1.0,1977,1.0,Best Actor,http://www.nndb.com/people/745/000063556/,,,Network,Peter Finch,,,,
